Brand,Coe_left,Mileage,Road Tax,COE,Engine Cap,Curb Weight,Manufactured,OMV,Power,No. of Owners,Price,Type_Hatchback,Type_Luxury Sedan,Type_MPV,Type_Mid-Sized Sedan,Type_SUV,Type_Sports Car,Type_Stationwagon,Transmission_Auto,Transmission_Manual
Honda,4.35,50000,682,56001,1496,1190,2015,19775,96,2,49800,0,0,0,0,1,0,0,1,0
Suzuki,1.56,203000,1030,21349,1586,1060,2007,12154,92,2,12800,1,0,0,0,0,0,0,0,1
Porsche,6.12,21000,1200,50110,1988,1365,2017,71979,220,1,259988,0,0,0,0,0,1,0,1,0
Hyundai,3.44,35000,738,64900,1591,1292,2014,13856,97,1,44800,0,0,0,1,0,0,0,1,0
Kia,8.07,21200,738,30009,1591,1287,2018,18894,93,1,85800,0,0,0,1,0,0,0,1,0
BMW,1.49,170000,1210,86889,1997,1420,2012,38514,135,2,45600,0,1,0,0,0,0,0,1,0
Mitsubishi,6.81,251000,1694,44998,1998,1427,2007,17722,114,2,50900,0,0,0,1,0,0,0,1,0
Mercedes-Benz,4.73,84000,1202,50089,1991,1680,2015,52959,155,2,120999,0,1,0,0,0,0,0,1,0
Mercedes-Benz,3.94,98000,740,68668,1595,1425,2015,35392,115,1,88800,0,1,0,0,0,0,0,1,0
Audi,9.47,105000,2618,40014,2995,1755,2010,64519,245,5,106888,0,0,0,0,0,1,0,1,0
Mazda,4.37,108138,682,57498,1496,1321,2015,18235,88,1,50800,0,0,0,1,0,0,0,1,0
Toyota,7.51,29339,682,25556,1496,1325,2018,17699,79,1,78800,0,0,1,0,0,0,0,1,0
Toyota,6.31,49000,682,44002,1496,1320,2016,21145,80,1,73500,0,0,1,0,0,0,0,1,0
Honda,7.53,142000,1271,31553,1799,1350,2008,17982,103,4,47800,0,0,1,0,0,0,0,1,0
Mazda,3.55,102000,682,65889,1496,1339,2014,14208,88,2,40500,0,0,0,1,0,0,0,1,0
BMW,5.08,65800,684,55100,1499,1425,2016,29816,100,1,87800,0,1,0,0,0,0,0,1,0
Audi,5.62,90000,392,50889,999,1280,2016,24614,85,2,72888,0,1,0,0,0,0,0,1,0
BMW,8.43,26339,1210,40009,1998,1530,2019,52437,135,1,198800,0,1,0,0,0,0,0,1,0
BMW,9.17,14000,2384,37102,2998,1845,2020,72244,285,1,309800,0,0,0,0,1,0,0,1,0
BMW,6.73,133000,3307,50578,2979,1535,2007,66046,225,1,75888,0,1,0,0,0,0,0,0,1
Mercedes-Benz,8.04,22500,586,39728,1332,1375,2019,33259,120,2,135800,1,0,0,0,0,0,0,1,0
Honda,5.33,80000,684,57010,1498,1324,2016,26078,127,1,79800,0,0,0,1,0,0,0,1,0
BMW,9.37,5072,1210,40790,1998,1750,2020,59276,185,1,262800,0,0,0,0,1,0,0,1,0
BMW,7.89,49317,684,29159,1499,1490,2019,31249,80,1,117800,0,0,1,0,0,0,0,1,0
Mitsubishi,4.35,48752,506,57498,1193,940,2015,13062,57,1,39500,0,0,0,1,0,0,0,1,0
BMW,9.26,5366,1210,38110,1998,1745,2020,53451,185,1,239800,0,0,0,0,1,0,0,1,0
Toyota,8.57,101300,821,31976,1497,1095,2009,12717,80,4,49988,0,0,0,1,0,0,0,1,0
Audi,7.44,66041,624,32302,1395,1320,2018,23548,110,1,97800,0,1,0,0,0,0,0,1,0
Honda,5.16,63584,682,52301,1496,1130,2015,16869,97,4,55800,0,0,0,0,0,0,1,1,0
Volkswagen,4.15,65023,620,55889,1390,1417,2015,17505,90,1,46800,0,0,0,1,0,0,0,1,0
BMW,7.17,34503,1210,32551,1998,1460,2018,39816,141,1,139800,0,0,0,0,1,0,0,1,0
Toyota,5.79,83254,1196,53300,1986,1580,2016,28119,111,2,88900,0,0,0,0,1,0,0,1,0
Nissan,4.94,55000,1210,47000,1997,1379,2016,19906,106,3,59800,0,0,0,0,1,0,0,1,0
Lexus,6.52,61000,1210,53711,1998,1620,2017,37274,180,1,123800,0,1,0,0,0,0,0,1,0
Audi,7.68,176000,1552,31933,1984,1550,2008,44257,125,6,56000,0,1,0,0,0,0,0,1,0
Mercedes-Benz,6.75,69000,740,42661,1595,1425,2017,37239,115,2,126800,0,1,0,0,0,0,0,1,0
Nissan,5.23,82687,508,52301,1197,1285,2016,18974,85,2,60800,0,0,0,0,1,0,0,1,0
Audi,4.88,87000,1194,49602,1984,1845,2016,36946,132,1,98999,0,0,0,0,1,0,0,1,0
Toyota,9.43,3708,1198,39000,1987,1530,2020,30048,127,1,136666,0,0,0,0,1,0,0,1,0
BMW,9.31,4500,4568,40989,4395,1890,2018,129518,390,1,538800,0,0,0,0,0,1,0,1,0
Toyota,9.1,13000,1210,35889,1998,1695,2019,30808,170,1,141800,0,0,0,0,1,0,0,1,0
Lexus,7.56,37000,1198,31001,1987,1485,2018,38007,127,2,123800,0,0,0,0,1,0,0,1,0
Opel,5.28,99309,392,51506,999,1188,2016,19378,77,2,50800,1,0,0,0,0,0,0,1,0
Mercedes-Benz,3.96,70000,740,78001,1595,1425,2015,35392,115,1,82888,0,1,0,0,0,0,0,1,0
Honda,7.19,42254,682,32699,1496,1190,2018,21245,96,1,79888,0,0,0,0,1,0,0,1,0
Honda,1.99,155000,1271,18953,1799,1219,2008,21141,103,3,18500,0,0,0,1,0,0,0,1,0
Hyundai,6.02,22048,238,28201,1591,1345,2017,12933,93,1,51111,0,0,0,1,0,0,0,1,0
Volkswagen,5.86,61000,624,52000,1395,1249,2016,20409,92,1,67800,1,0,0,0,0,0,0,1,0
Toyota,4.49,57000,1196,58801,1986,1620,2015,26876,112,2,78800,0,0,1,0,0,0,0,1,0
Jaguar,6.23,42000,1212,52751,1999,1873,2014,62826,177,2,135800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,5.71,46525,740,46229,1595,1425,2016,37206,115,1,107800,0,1,0,0,0,0,0,1,0
Honda,0.97,139000,1694,26246,1998,1370,2007,21236,114,2,9000,0,1,0,0,0,0,0,1,0
Honda,3.92,121800,682,68589,1496,1190,2014,18556,96,2,48800,0,0,0,0,1,0,0,1,0
Kia,8.48,12000,738,27000,1591,1287,2019,14529,93,1,78800,0,0,0,1,0,0,0,1,0
Volkswagen,4.2,46000,624,56209,1395,1249,2014,22709,90,1,57800,1,0,0,0,0,0,0,1,0
Mercedes-Benz,1.76,112000,740,63000,1595,1425,2012,27947,115,2,36800,1,0,0,0,0,0,0,1,0
Volkswagen,8.24,170000,744,29328,1390,1286,2009,24161,118,4,70800,1,0,0,0,0,0,0,1,0
Honda,2.15,102000,978,77000,1799,1370,2013,18024,103,1,34800,0,0,1,0,0,0,0,1,0
Mazda,5.63,80000,682,48000,1496,1310,2016,14777,88,2,55800,0,0,0,1,0,0,0,1,0
Honda,8.67,51000,682,35010,1496,1130,2019,19962,95,1,82900,0,0,0,0,0,0,1,1,0
Hyundai,8.27,31800,600,31917,1353,1240,2019,17951,95,1,89800,1,0,0,0,0,0,0,1,0
Subaru,5.98,71220,1210,53001,1998,1682,2017,18274,177,1,85800,0,0,0,0,1,0,0,1,0
Honda,6.94,65000,684,37010,1498,1322,2017,29833,127,1,99800,1,0,0,0,0,0,0,1,0
Toyota,4.91,50000,742,47300,1598,1205,2016,17982,90,1,56800,0,0,0,1,0,0,0,1,0
Lexus,4.45,77700,1792,57501,2494,1615,2015,40884,135,1,99800,0,1,0,0,0,0,0,1,0
Toyota,4.91,52000,742,47300,1598,1205,2016,17982,90,1,56800,0,0,0,1,0,0,0,1,0
Mazda,8.85,5300,682,38000,1496,1060,2019,18204,81,1,78800,1,0,0,0,0,0,0,1,0
Toyota,5.01,51000,742,53694,1598,1205,2016,16800,90,1,57800,0,0,0,1,0,0,0,1,0
Toyota,9.57,136000,1802,40714,2362,1750,2011,37052,125,2,72000,0,0,1,0,0,0,0,1,0
Toyota,5.01,54000,742,53694,1598,1205,2016,16800,90,1,57888,0,0,0,1,0,0,0,1,0
Hyundai,8.23,42121,738,31917,1591,1345,2019,12631,93,2,72000,0,0,0,1,0,0,0,1,0
Mercedes-Benz,1.34,82000,740,73501,1595,1485,2012,30136,115,2,39900,0,1,0,0,0,0,0,1,0
Toyota,5.79,59200,742,49430,1598,1215,2016,19990,90,1,68800,0,0,0,1,0,0,0,1,0
Honda,6.89,37700,684,38000,1497,1078,2018,15908,88,1,69600,0,0,0,1,0,0,0,1,0
Mercedes-Benz,1.59,170000,974,86889,1796,1615,2012,50742,135,1,53000,0,1,0,0,0,0,0,1,0
Kia,3.39,163000,1452,18751,1998,1597,2009,17209,108,5,25000,0,0,1,0,0,0,0,1,0
Mercedes-Benz,1.19,95000,3164,86889,3498,1975,2012,95928,225,2,88000,0,1,0,0,0,0,0,1,0
Mitsubishi,6.22,55000,506,42801,1193,940,2016,14804,59,2,53800,1,0,0,0,0,0,0,1,0
Land Rover,5.98,69000,2380,55000,2995,2214,2016,84912,250,2,222800,0,0,0,0,1,0,0,1,0
Toyota,7.57,128088,2129,31553,2362,1540,2008,27261,123,5,48800,0,1,0,0,0,0,0,1,0
Audi,9.4,130000,1313,38216,1984,1735,2010,57024,155,3,90888,0,0,0,0,0,1,0,1,0
Kia,6.94,41000,738,38510,1591,1295,2017,11361,95,1,61800,0,0,0,1,0,0,0,1,0
Audi,3.31,104000,1194,74801,1984,1565,2013,38197,132,3,70888,0,1,0,0,0,0,0,1,0
Honda,7.09,56000,684,37000,1498,1324,2018,26476,127,1,98000,0,0,0,1,0,0,0,1,0
Toyota,4.62,36489,242,28002,1598,1205,2015,19589,90,2,49800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,8.49,24511,1202,42020,1991,1735,2019,45235,155,1,196800,0,0,0,0,1,0,0,1,0
Subaru,4.81,80000,1208,47604,1995,1566,2016,15515,110,2,71888,0,0,0,0,1,0,0,1,0
Volkswagen,3.67,115000,624,62002,1395,1249,2014,22719,90,3,55555,1,0,0,0,0,0,0,1,0
Land Rover,5.9,49809,1212,54556,1999,1841,2017,50339,177,2,127998,0,0,0,0,1,0,0,1,0
Honda,1.33,150149,1369,25226,1799,1410,2007,19569,103,4,14500,0,0,0,0,1,0,0,1,0
Ferrari,1.82,30000,4728,95501,4497,1565,2013,460829,416,2,648000,0,0,0,0,0,1,0,1,0
Honda,1.96,160000,1271,19356,1799,1219,2008,21092,103,4,15500,0,0,0,1,0,0,0,1,0
Toyota,1.83,197000,1039,19328,1598,1195,2008,16994,80,6,13500,0,0,0,1,0,0,0,1,0
Honda,8.09,23000,682,28589,1496,1130,2019,18791,97,1,73800,0,0,0,0,0,0,1,1,0
Jaguar,5.15,41100,1212,57508,1999,1804,2015,79478,177,1,149800,0,1,0,0,0,0,0,1,0
Kia,8.77,15000,738,32999,1591,1287,2019,19406,93,1,87800,0,0,0,1,0,0,0,1,0
BMW,3.47,138483,1210,73900,1997,1615,2014,52258,180,1,95888,0,1,0,0,0,0,0,1,0
Toyota,7.34,45442,1210,31301,1998,1695,2018,33306,170,1,121800,0,0,0,0,1,0,0,1,0
Mercedes-Benz,6.04,59600,740,51765,1595,1395,2017,23295,90,1,87800,1,0,0,0,0,0,0,1,0
Mercedes-Benz,5.71,80600,740,50951,1595,1430,2016,28839,90,3,92800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,6.83,69953,1202,42322,1991,1615,2018,58503,155,1,170800,0,1,0,0,0,0,0,1,0
